品牌,能效等级,SSD,厚度,机身材质,屏幕尺寸,刷新率,覆盖对数
ThinkPad,三级,3TB,20.0mm以上,复合材质,15.0-15.9英寸,120Hz,21
华为,二级,256GB+1TB,18.1-20.0mm,含碳纤维,15.0-15.9英寸,60Hz,21
ASUS,一级,3TB,15.1-18.0mm,金属,13.0英寸以下,165Hz,21
HONOR,二级,3TB,15.0mm及以下,金属+复合材质,14.0-14.9英寸,90Hz,21
MI,三级,3TB*2,18.1-20.0mm,金属,14.0-14.9英寸,144Hz,21
hp,一级,128GB,18.1-20.0mm,金属+复合材质,13.0-13.9英寸,165Hz,20
hp,三级,256GB+1TB,15.1-18.0mm,含碳纤维,16.0-16.9英寸,90Hz,20
ThinkPad,二级,512GB+2TB,15.1-18.0mm,复合材质,13.0-13.9英寸,60Hz,19
Lenovo,一级,3TB*2,15.0mm及以下,复合材质,16.0-16.9英寸,60Hz,20
DELL,三级,512GB+2TB,15.0mm及以下,含碳纤维,13.0英寸以下,144Hz,19
Apple,二级,128GB,20.0mm以上,金属,13.0英寸以下,90Hz,19
Apple,一级,3TB*2,20.0mm以上,含碳纤维,14.0-14.9英寸,120Hz,17
Lenovo,三级,256GB+1TB,15.1-18.0mm,金属+复合材质,15.0-15.9英寸,144Hz,15
MI,一级,256GB+1TB,15.0mm及以下,复合材质,15.0-15.9英寸,90Hz,14
HONOR,三级,256GB+1TB,20.0mm以上,金属,13.0-13.9英寸,165Hz,15
DELL,二级,3TB,18.1-20.0mm,复合材质,16.0-16.9英寸,165Hz,14
华为,三级,512GB+2TB,20.0mm以上,金属+复合材质,13.0英寸以下,120Hz,13
ASUS,三级,128GB,20.0mm以上,复合材质,16.0-16.9英寸,60Hz,13
ASUS,二级,256GB+1TB,15.0mm及以下,金属,13.0-13.9英寸,120Hz,12
ThinkPad,二级,3TB*2,18.1-20.0mm,金属+复合材质,16.0-16.9英寸,144Hz,10
Apple,一级,512GB+2TB,18.1-20.0mm,复合材质,13.0英寸以下,90Hz,9
DELL,一级,3TB*2,15.1-18.0mm,金属,15.0-15.9英寸,120Hz,10
HONOR,三级,128GB,15.1-18.0mm,复合材质,14.0-14.9英寸,120Hz,9
Lenovo,一级,3TB,15.0mm及以下,含碳纤维,13.0-13.9英寸,165Hz,9
华为,一级,128GB,20.0mm以上,复合材质,13.0英寸以下,144Hz,8
MI,三级,512GB+2TB,20.0mm以上,金属,16.0-16.9英寸,165Hz,8
hp,二级,256GB+1TB,20.0mm以上,金属,13.0英寸以下,60Hz,8
Apple,三级,3TB,15.0mm及以下,金属+复合材质,14.0-14.9英寸,60Hz,8
ThinkPad,一级,256GB+1TB,15.1-18.0mm,金属,14.0-14.9英寸,165Hz,7
Lenovo,二级,128GB,15.0mm及以下,金属,15.0-15.9英寸,165Hz,6
华为,三级,3TB*2,15.0mm及以下,金属,13.0-13.9英寸,90Hz,8
HONOR,一级,512GB+2TB,18.1-20.0mm,含碳纤维,15.0-15.9英寸,144Hz,7
MI,二级,128GB,15.1-18.0mm,金属+复合材质,13.0英寸以下,120Hz,6
hp,三级,3TB*2,15.0mm及以下,复合材质,14.0-14.9英寸,165Hz,5
ASUS,三级,512GB+2TB,18.1-20.0mm,金属+复合材质,14.0-14.9英寸,90Hz,6
DELL,一级,128GB,20.0mm以上,金属+复合材质,13.0-13.9英寸,60Hz,5
Lenovo,三级,256GB+1TB,18.1-20.0mm,含碳纤维,13.0英寸以下,120Hz,4
Apple,二级,256GB+1TB,15.1-18.0mm,金属+复合材质,13.0-13.9英寸,144Hz,5
ThinkPad,一级,128GB,15.0mm及以下,含碳纤维,15.0-15.9英寸,165Hz,4
华为,二级,3TB,15.1-18.0mm,金属,16.0-16.9英寸,165Hz,4
hp,一级,3TB,15.0mm及以下,复合材质,15.0-15.9英寸,144Hz,4
HONOR,三级,3TB*2,18.1-20.0mm,复合材质,13.0英寸以下,60Hz,4
MI,三级,3TB,20.0mm以上,含碳纤维,13.0-13.9英寸,60Hz,4
ASUS,二级,3TB*2,15.0mm及以下,含碳纤维,15.0-15.9英寸,144Hz,4
Lenovo,一级,512GB+2TB,15.0mm及以下,含碳纤维,14.0-14.9英寸,90Hz,3
DELL,二级,256GB+1TB,20.0mm以上,复合材质,16.0-16.9英寸,120Hz,2
Apple,三级,128GB,15.1-18.0mm,金属,16.0-16.9英寸,165Hz,2
DELL,一级,256GB+1TB,15.1-18.0mm,含碳纤维,14.0-14.9英寸,90Hz,2
hp,三级,512GB+2TB,18.1-20.0mm,含碳纤维,16.0-16.9英寸,120Hz,2
ThinkPad,二级,3TB*2,15.0mm及以下,金属+复合材质,13.0英寸以下,90Hz,2
Lenovo,一级,512GB+2TB,20.0mm以上,复合材质,13.0英寸以下,90Hz,1
HONOR,一级,3TB*2,20.0mm以上,复合材质,16.0-16.9英寸,165Hz,1
华为,二级,256GB+1TB,18.1-20.0mm,金属,14.0-14.9英寸,144Hz,1
Apple,三级,128GB,15.0mm及以下,金属,15.0-15.9英寸,144Hz,1
